operator_id_raw,tech_norm,cell_id_dec
46000,5G,4382011393
46000,5G,4382011394
46000,5G,4382011395
46000,5G,4384010241
46000,5G,4384010245
46000,5G,4392390658
46000,5G,4392390659
46000,5G,4392415235
46000,5G,4392415237
46000,5G,4509233153
46000,5G,4509233154
46000,5G,4509233155
46000,5G,4540542977
46000,5G,4540542978
46000,5G,4540542979
46000,5G,4540542980
46000,5G,4541624323
46000,5G,4541624326
46000,5G,4542111746
46000,5G,4542111748
46000,5G,4542111750
46000,5G,4548280326
46000,5G,4549373956
46000,5G,4549373957
46000,5G,4549373958
46000,5G,4549955585
46000,5G,4549955587
46000,5G,4551077890
46000,5G,4551077891
46000,5G,5652074498
46000,5G,5652074499
46000,5G,5690290177
46000,5G,5690290178
46000,5G,5690290179
46000,5G,5691338753
46000,5G,5691338754
46000,5G,5691338755
46000,5G,5691338756
46000,5G,5691338757
46000,5G,5691338758
46000,5G,5694423041
46000,5G,5694423043
46000,5G,5700349953
46000,5G,5700349954
46000,5G,5700349955
46000,5G,5700460545
46000,5G,5700460546
46000,5G,5700460547
46000,5G,5700501505
46000,5G,5700501506
46000,5G,5700501507
46000,5G,5700575233
46000,5G,5700575235
46000,5G,5700808705
46000,5G,5700808706
46000,5G,5703987201
46000,5G,5703987202
46000,5G,5703987203
46000,5G,5706964993
46000,5G,5706964995
46000,5G,5708734466
46000,5G,5708734467
46000,5G,5708910593
46000,5G,5708910594
46000,5G,5708910595
46000,5G,5708992513
46000,5G,5708992514
46000,5G,5708992515
46000,5G,5709312001
46000,5G,5709312002
46000,5G,5709312003
46000,5G,5718462465
46000,5G,5718462466
46000,5G,5718462467
46000,5G,5721317377
46000,5G,5721317378
46000,5G,5725933569
46000,5G,5725933570
46000,5G,5725933571
46000,5G,5726900225
46000,5G,5726900227
46000,5G,5729165313
46000,5G,5729165314
46000,5G,5729165315
46000,5G,5739077644
46000,5G,5739078344
46000,5G,5739540491
46000,5G,5739540501
46000,5G,5739540502
46000,5G,5739540503
46000,5G,5746016278
46000,5G,5746016279
46000,5G,5746016288
46000,5G,5746016289
46000,5G,5746356255
46000,5G,5747290113
46000,5G,5747290115
46000,5G,5779615745
46000,5G,5779615748
46000,5G,5798809601
46000,5G,5798809602
46000,5G,5798809603
46000,5G,5801013259
46000,5G,5801013260
46000,5G,5801013261
46000,5G,5801013960
46000,5G,5825130497
46000,5G,5825130518
46000,5G,5834309633
46000,5G,5834309634
46000,5G,5834309635
46000,5G,5834903553
46000,5G,5834903554
46000,5G,5861588993
46000,5G,5861588994
46000,5G,5863960577
46000,5G,5863960578
46000,5G,5872848897
46000,5G,5872848898
46001,4G,3367692
46001,4G,3367702
46001,4G,4424559
46001,4G,4424579
46001,4G,5945365
46001,4G,5945375
46001,4G,25641265
46001,4G,25641266
46001,4G,25641267
46001,4G,40175475
46001,4G,40203794
46001,4G,40203800
46001,4G,40616729
46001,4G,40616731
46001,4G,111081484
46001,4G,111096598
46001,4G,111096618
46001,4G,111870731
46001,4G,111870781
46001,4G,156881537
46001,4G,158030713
46001,5G,282243329
46001,5G,282243330
46001,5G,282243331
46001,5G,294147073
46001,5G,294147075
46001,5G,294147078
46001,5G,296829953
46001,5G,296829954
46001,5G,296829955
46001,5G,436470145
46001,5G,436470146
46001,5G,437601409
46001,5G,437601411
46001,5G,437601412
46001,5G,437601415
46001,5G,468246785
46001,5G,468247553
46001,5G,468247555
46001,5G,544813186
46001,5G,544813187
46001,5G,552644740
46001,5G,552644994
46001,5G,559391875
46001,5G,559391876
46001,5G,559391877
46001,5G,738996225
46001,5G,738996226
46001,5G,9568337941
46001,5G,9568337942
46011,4G,3367702
46011,4G,3637893
46011,4G,6053231
46011,4G,6053261
46011,4G,23254321
46011,4G,23254324
46011,4G,23254328
46011,4G,23276086
46011,4G,25641265
46011,4G,25641266
46011,4G,25641267
46011,4G,26372098
46011,4G,26372147
46011,4G,111081494
46011,4G,156881537
46011,4G,156981041
46011,4G,156981042
46011,4G,156981043
46011,4G,158030713
46011,4G,160833938
46011,4G,239301905
46011,4G,239301906
46011,5G,1615007745
46011,5G,1615007746
46011,5G,1615007747
46011,5G,1644892289
46011,5G,1644892290
46011,5G,1646915714
46011,5G,1646915715
46011,5G,1816752257
46011,5G,1816752258
46011,5G,1853026434
46011,5G,1853026436
46015,4G,4671747
46015,4G,20803586
46015,4G,21742137
46015,4G,21914144
46015,4G,21914154
46015,4G,24453321
46015,4G,90062793
46015,4G,90062803
46015,4G,90062814
46015,4G,90062845
46015,4G,90660807
46015,4G,127848373
46015,4G,128551861
46015,4G,226586057
46015,4G,226586058
46015,4G,226586059
46015,4G,226586107
46015,4G,227581130
46015,5G,5678358533
46015,5G,5678358539
46015,5G,5678358543
46015,5G,5694423043
46015,5G,5703987201
46015,5G,5731385346
46015,5G,5731385348
46015,5G,5731385349
46015,5G,5823442945
46015,5G,5823442946
